Frequency [MHz],Freq. Offset [kHz],Input Power [dBm],BER [%],RSSI
876.0,-100.0,-87.0,0.0,0.0
876.0,-90.0,-87.0,0.0,0.0
876.0,-80.0,-87.0,0.0,-83.0
876.0,-80.0,-88.0,0.0,-85.0
876.0,-80.0,-89.0,0.0,-86.0
876.0,-80.0,-90.0,0.0,-87.0
876.0,-80.0,-91.0,0.0,-88.0
876.0,-80.0,-92.0,0.0,-89.0
876.0,-80.0,-93.0,0.0,0.0
876.0,-70.0,-87.0,0.0,-83.0
876.0,-70.0,-88.0,0.0,-84.0
876.0,-70.0,-89.0,0.0,-86.0
876.0,-70.0,-90.0,0.0,-87.0
876.0,-70.0,-91.0,0.0,-88.0
876.0,-70.0,-92.0,0.0,-89.0
876.0,-70.0,-93.0,0.0,-89.0
876.0,-70.0,-94.0,0.0,-91.0
876.0,-70.0,-95.0,0.0,-91.0
876.0,-70.0,-96.0,0.0,-93.0
876.0,-70.0,-97.0,0.0,-93.0
876.0,-70.0,-98.0,0.0,-95.0
876.0,-70.0,-99.0,0.0,-96.0
876.0,-70.0,-100.0,0.0,-96.0
876.0,-70.0,-101.0,0.0,-98.0
876.0,-70.0,-102.0,0.0,-99.0
876.0,-70.0,-103.0,0.0,-99.0
876.0,-70.0,-104.0,0.02,-101.0
876.0,-70.0,-105.0,0.0,0.0
876.0,-60.0,-87.0,0.0,-83.0
876.0,-60.0,-88.0,0.0,-84.0
876.0,-60.0,-89.0,0.0,-86.0
876.0,-60.0,-90.0,0.0,-87.0
876.0,-60.0,-91.0,0.0,-88.0
876.0,-60.0,-92.0,0.0,-89.0
876.0,-60.0,-93.0,0.0,-89.0
876.0,-60.0,-94.0,0.0,-90.0
876.0,-60.0,-95.0,0.0,-92.0
876.0,-60.0,-96.0,0.0,-93.0
876.0,-60.0,-97.0,0.0,-94.0
876.0,-60.0,-98.0,0.0,-95.0
876.0,-60.0,-99.0,0.0,-95.0
876.0,-60.0,-100.0,0.0,-96.0
876.0,-60.0,-101.0,0.0,-97.0
876.0,-60.0,-102.0,0.0,-99.0
876.0,-60.0,-103.0,0.0,-100.0
876.0,-60.0,-104.0,0.0,-100.0
876.0,-60.0,-105.0,0.0,-101.0
876.0,-60.0,-106.0,0.0,-102.0
876.0,-60.0,-107.0,0.0,-104.0
876.0,-60.0,-108.0,0.02,-104.0
876.0,-60.0,-109.0,0.1,-106.0
876.0,-50.0,-87.0,0.0,-83.0
876.0,-50.0,-88.0,0.0,-84.0
876.0,-50.0,-89.0,0.0,-86.0
876.0,-50.0,-90.0,0.0,-87.0
876.0,-50.0,-91.0,0.0,-87.0
876.0,-50.0,-92.0,0.0,-89.0
876.0,-50.0,-93.0,0.0,-89.0
876.0,-50.0,-94.0,0.0,-90.0
876.0,-50.0,-95.0,0.0,-91.0
876.0,-50.0,-96.0,0.0,-93.0
876.0,-50.0,-97.0,0.0,-94.0
876.0,-50.0,-98.0,0.0,-94.0
876.0,-50.0,-99.0,0.0,-95.0
876.0,-50.0,-100.0,0.0,-96.0
876.0,-50.0,-101.0,0.0,-97.0
876.0,-50.0,-102.0,0.0,-98.0
876.0,-50.0,-103.0,0.0,-100.0
876.0,-50.0,-104.0,0.0,-100.0
876.0,-50.0,-105.0,0.0,-102.0
876.0,-50.0,-106.0,0.0,-102.0
876.0,-50.0,-107.0,0.0,-103.0
876.0,-50.0,-108.0,0.0,-105.0
876.0,-50.0,-109.0,0.08,-106.0
876.0,-50.0,-110.0,0.3,-107.0
876.0,-40.0,-87.0,0.0,-83.0
876.0,-40.0,-88.0,0.0,-84.0
876.0,-40.0,-89.0,0.0,-85.0
876.0,-40.0,-90.0,0.0,-86.0
876.0,-40.0,-91.0,0.0,-88.0
876.0,-40.0,-92.0,0.0,-88.0
876.0,-40.0,-93.0,0.0,-89.0
876.0,-40.0,-94.0,0.0,-90.0
876.0,-40.0,-95.0,0.0,-91.0
876.0,-40.0,-96.0,0.0,-92.0
876.0,-40.0,-97.0,0.0,-93.0
876.0,-40.0,-98.0,0.0,-95.0
876.0,-40.0,-99.0,0.0,-96.0
876.0,-40.0,-100.0,0.0,-96.0
