Radio Frequency [MHz],Injected Frequency [MHz],Input Power [dBm],RSSI
874.0,868.0,-10.0,-92.25
874.0,868.0,-15.0,-97.5
874.0,868.0,-20.0,-100.5
874.0,868.0,-25.0,-107.75
874.0,868.0,-30.0,-110.25
874.0,868.0,-35.0,-113.0
874.0,868.0,-40.0,-115.0
874.0,868.0,-45.0,-114.0
874.0,868.0,-50.0,-116.0
874.0,868.0,-55.0,-114.75
874.0,868.0,-60.0,-114.25
874.0,868.0,-65.0,-114.75
874.0,868.0,-70.0,-115.75
874.0,868.0,-75.0,-115.75
874.0,868.0,-80.0,-114.5
874.0,868.0,-85.0,-114.25
874.0,868.0,-90.0,-115.75
874.0,868.0,-95.0,-114.25
874.0,868.0,-100.0,-117.0
874.0,868.0,-105.0,-117.25
874.0,868.0,-110.0,-115.5
874.0,868.0,-115.0,-115.25
874.0,868.0,-120.0,-116.25
874.0,874.0,-10.0,-9.5
874.0,874.0,-15.0,-14.75
874.0,874.0,-20.0,-19.25
874.0,874.0,-25.0,-24.0
874.0,874.0,-30.0,-28.75
874.0,874.0,-35.0,-32.5
874.0,874.0,-40.0,-37.0
874.0,874.0,-45.0,-41.5
874.0,874.0,-50.0,-46.5
874.0,874.0,-55.0,-51.75
874.0,874.0,-60.0,-57.0
874.0,874.0,-65.0,-61.75
874.0,874.0,-70.0,-67.0
874.0,874.0,-75.0,-72.0
874.0,874.0,-80.0,-76.75
874.0,874.0,-85.0,-81.75
874.0,874.0,-90.0,-87.0
874.0,874.0,-95.0,-91.75
874.0,874.0,-100.0,-96.5
874.0,874.0,-105.0,-101.25
874.0,874.0,-110.0,-106.0
874.0,874.0,-115.0,-111.75
874.0,874.0,-120.0,-113.0
874.0,880.0,-10.0,-91.75
874.0,880.0,-15.0,-95.25
874.0,880.0,-20.0,-103.0
874.0,880.0,-25.0,-107.75
874.0,880.0,-30.0,-109.5
874.0,880.0,-35.0,-111.25
874.0,880.0,-40.0,-113.75
874.0,880.0,-45.0,-116.0
874.0,880.0,-50.0,-114.75
874.0,880.0,-55.0,-116.0
874.0,880.0,-60.0,-115.0
874.0,880.0,-65.0,-112.75
874.0,880.0,-70.0,-115.25
874.0,880.0,-75.0,-114.75
874.0,880.0,-80.0,-115.0
874.0,880.0,-85.0,-117.0
874.0,880.0,-90.0,-115.25
874.0,880.0,-95.0,-115.5
874.0,880.0,-100.0,-116.75
874.0,880.0,-105.0,-114.5
