Frequency [MHz],Input Power [dBm],BER [%],RSSI
868.0,-106.0,8.93,-96.0
870.0,-106.0,0.0,-102.0
870.0,-106.5,0.0,-103.0
870.0,-107.0,0.0,-103.0
870.0,-107.5,0.01,-104.0
870.0,-108.0,0.01,-104.0
870.0,-108.5,0.03,-104.0
870.0,-109.0,0.08,-105.0
870.0,-109.5,0.15,-106.0
872.0,-106.0,0.0,-103.0
872.0,-106.5,0.0,-103.0
872.0,-107.0,0.01,-104.0
872.0,-107.5,0.01,-104.0
872.0,-108.0,0.86,-103.0
874.0,-106.0,0.0,-102.0
874.0,-106.5,0.0,-103.0
874.0,-107.0,0.0,-103.0
874.0,-107.5,0.01,-103.0
874.0,-108.0,0.01,-105.0
874.0,-108.5,0.03,-105.0
874.0,-109.0,0.07,-105.0
874.0,-109.5,0.15,-105.0
876.0,-106.0,0.0,-103.0
876.0,-106.5,0.0,-102.0
876.0,-107.0,0.0,-103.0
876.0,-107.5,0.0,-103.0
876.0,-108.0,0.01,-103.0
876.0,-108.5,0.03,-105.0
876.0,-109.0,0.07,-104.0
876.0,-109.5,0.15,-106.0
878.0,-106.0,0.0,-102.0
878.0,-106.5,0.0,-102.0
878.0,-107.0,0.0,-103.0
878.0,-107.5,0.0,-103.0
878.0,-108.0,0.02,-104.0
878.0,-108.5,0.04,-104.0
878.0,-109.0,0.07,-105.0
878.0,-109.5,0.12,-105.0
880.0,-106.0,0.0,-102.0
880.0,-106.5,0.0,-103.0
880.0,-107.0,0.0,-103.0
880.0,-107.5,0.02,-104.0
880.0,-108.0,0.02,-104.0
880.0,-108.5,0.07,-104.0
880.0,-109.0,0.14,-104.0
882.0,-106.0,0.0,-103.0
882.0,-106.5,0.0,-102.0
882.0,-107.0,0.0,-103.0
882.0,-107.5,0.01,-103.0
882.0,-108.0,0.01,-104.0
882.0,-108.5,0.03,-104.0
882.0,-109.0,0.08,-105.0
882.0,-109.5,0.14,-105.0
884.0,-106.0,0.0,-102.0
884.0,-106.5,0.0,-103.0
884.0,-107.0,0.0,-104.0
884.0,-107.5,0.01,-103.0
884.0,-108.0,0.01,-103.0
884.0,-108.5,0.02,-105.0
884.0,-109.0,0.05,-105.0
884.0,-109.5,0.12,-105.0
886.0,-106.0,0.0,-102.0
886.0,-106.5,0.0,-103.0
886.0,-107.0,0.0,-103.0
886.0,-107.5,0.0,-103.0
886.0,-108.0,0.01,-105.0
886.0,-108.5,0.03,-104.0
886.0,-109.0,0.07,-105.0
886.0,-109.5,0.12,-105.0
888.0,-106.0,0.0,-102.0
888.0,-106.5,0.0,-102.0
888.0,-107.0,0.0,-103.0
888.0,-107.5,0.0,-103.0
888.0,-108.0,0.01,-103.0
888.0,-108.5,0.04,-103.0
888.0,-109.0,0.07,-105.0
888.0,-109.5,0.12,-106.0
890.0,-106.0,0.0,-103.0
890.0,-106.5,0.0,-102.0
890.0,-107.0,0.0,-102.0
890.0,-107.5,0.01,-103.0
890.0,-108.0,0.01,-103.0
890.0,-108.5,0.02,-104.0
890.0,-109.0,0.06,-105.0
890.0,-109.5,0.12,-106.0
892.0,-106.0,0.0,-102.0
892.0,-106.5,0.0,-102.0
892.0,-107.0,0.0,-102.0
892.0,-107.5,0.0,-104.0
892.0,-108.0,0.01,-104.0
892.0,-108.5,0.03,-104.0
892.0,-109.0,0.06,-104.0
892.0,-109.5,0.13,-106.0
894.0,-106.0,0.54,-102.0
896.0,-106.0,0.0,-102.0
896.0,-106.5,0.0,-103.0
896.0,-107.0,0.0,-103.0
896.0,-107.5,0.0,-104.0
896.0,-108.0,0.01,-103.0
896.0,-108.5,0.03,-104.0
896.0,-109.0,0.05,-105.0
896.0,-109.5,0.14,-105.0
898.0,-106.0,0.0,-103.0
898.0,-106.5,0.0,-103.0
898.0,-107.0,0.0,-103.0
898.0,-107.5,0.0,-103.0
898.0,-108.0,0.01,-103.0
898.0,-108.5,0.03,-104.0
898.0,-109.0,0.08,-105.0
898.0,-109.5,0.14,-105.0
900.0,-106.0,0.07,-102.0
900.0,-106.5,0.16,-101.0
902.0,-106.0,0.0,-102.0
902.0,-106.5,0.0,-103.0
902.0,-107.0,0.0,-103.0
902.0,-107.5,0.01,-103.0
902.0,-108.0,0.01,-104.0
902.0,-108.5,0.04,-103.0
902.0,-109.0,0.08,-104.0
902.0,-109.5,0.17,-105.0
904.0,-106.0,0.0,-103.0
904.0,-106.5,0.0,-102.0
904.0,-107.0,0.0,-102.0
904.0,-107.5,0.01,-104.0
904.0,-108.0,0.13,-104.0
906.0,-106.0,0.0,-102.0
906.0,-106.5,0.0,-103.0
906.0,-107.0,0.0,-102.0
906.0,-107.5,0.01,-104.0
906.0,-108.0,0.02,-103.0
906.0,-108.5,0.03,-105.0
906.0,-109.0,0.09,-105.0
906.0,-109.5,0.14,-105.0
908.0,-106.0,0.0,-103.0
908.0,-106.5,0.0,-103.0
908.0,-107.0,0.0,-103.0
908.0,-107.5,0.0,-104.0
908.0,-108.0,0.02,-104.0
908.0,-108.5,0.04,-103.0
908.0,-109.0,0.07,-105.0
908.0,-109.5,0.17,-106.0
910.0,-106.0,0.0,-102.0
910.0,-106.5,0.0,-102.0
910.0,-107.0,0.0,-103.0
910.0,-107.5,0.01,-103.0
910.0,-108.0,0.02,-104.0
910.0,-108.5,0.04,-105.0
910.0,-109.0,0.09,-105.0
910.0,-109.5,0.16,-105.0
912.0,-106.0,0.0,-102.0
912.0,-106.5,0.04,-102.0
912.0,-107.0,0.0,-103.0
912.0,-107.5,0.01,-104.0
912.0,-108.0,0.02,-104.0
912.0,-108.5,0.04,-105.0
912.0,-109.0,0.1,-106.0
914.0,-106.0,0.0,-103.0
914.0,-106.5,0.0,-102.0
914.0,-107.0,0.01,-103.0
914.0,-107.5,0.01,-103.0
914.0,-108.0,0.02,-105.0
914.0,-108.5,0.05,-104.0
914.0,-109.0,0.09,-105.0
914.0,-109.5,0.19,-105.0
916.0,-106.0,0.0,-103.0
916.0,-106.5,0.05,-102.0
916.0,-107.0,0.0,-103.0
916.0,-107.5,0.01,-104.0
916.0,-108.0,0.02,-104.0
916.0,-108.5,0.05,-105.0
916.0,-109.0,0.08,-106.0
916.0,-109.5,0.18,-106.0
918.0,-106.0,0.0,-102.0
918.0,-106.5,0.0,-102.0
918.0,-107.0,0.01,-103.0
918.0,-107.5,0.01,-103.0
918.0,-108.0,0.02,-102.0
918.0,-108.5,0.06,-105.0
918.0,-109.0,0.09,-105.0
918.0,-109.5,1.3,-106.0
920.0,-106.0,0.0,-104.0
920.0,-106.5,0.0,-102.0
920.0,-107.0,0.01,-104.0
920.0,-107.5,0.01,-103.0
920.0,-108.0,0.02,-104.0
920.0,-108.5,0.05,-104.0
920.0,-109.0,0.11,-104.0
922.0,-106.0,0.0,-102.0
922.0,-106.5,0.0,-102.0
922.0,-107.0,0.0,-103.0
922.0,-107.5,0.01,-104.0
922.0,-108.0,0.02,-105.0
922.0,-108.5,0.06,-105.0
922.0,-109.0,0.1,-105.0
924.0,-106.0,0.72,-102.0
926.0,-106.0,0.0,-104.0
926.0,-106.5,0.0,-104.0
926.0,-107.0,0.03,-103.0
926.0,-107.5,0.05,-105.0
926.0,-108.0,0.1,-103.0
928.0,-106.0,0.0,-102.0
928.0,-106.5,0.0,-103.0
928.0,-107.0,0.01,-104.0
928.0,-107.5,0.05,-102.0
928.0,-108.0,0.08,-104.0
928.0,-108.5,0.16,-106.0
