name,type,start_time,duration,"mosi","miso"
"SPI","result",1.7e-06,7.6e-06,0x55,0x00
"SPI","result",9.7e-06,7.6e-06,0x55,0x00
"SPI","result",1.77e-05,7.6e-06,0x55,0x00
"SPI","result",2.57e-05,7.6e-06,0x55,0x00
"SPI","result",3.37e-05,7.6e-06,0x55,0x00
"SPI","result",4.17e-05,7.6e-06,0xF6,0x00
"SPI","result",4.97e-05,7.6e-06,0x8D,0x00
"SPI","result",5.77e-05,7.6e-06,0xF0,0x00
"SPI","result",6.57e-05,7.6e-06,0x70,0x00
"SPI","result",7.37e-05,7.6e-06,0x88,0x00
"SPI","result",8.17e-05,7.6e-06,0x44,0x00
"SPI","result",8.97e-05,7.6e-06,0xCC,0x00
"SPI","result",9.77e-05,7.6e-06,0x22,0x00
"SPI","result",0.0001057,7.6e-06,0xAA,0x00
"SPI","result",0.0001137,7.6e-06,0xF0,0x00
"SPI","result",0.0001217,7.6e-06,0xEE,0x00
"SPI","result",0.0001297,7.6e-06,0x11,0x00
"SPI","result",0.0001377,7.6e-06,0x99,0x00
"SPI","result",0.0001457,7.6e-06,0x55,0x00
"SPI","result",0.0001537,7.6e-06,0xDD,0x00
"SPI","result",0.0001617,7.6e-06,0x33,0x00
"SPI","result",0.0001697,7.6e-06,0xBB,0x00
"SPI","result",0.0001777,7.6e-06,0x77,0x00
"SPI","result",0.0001857,7.6e-06,0xD0,0x00
"SPI","result",0.0001937,7.6e-06,0x41,0x00
